"CA Owner","Parent Name","Certificate Name","Certificate Issuer Common Name","Certificate Issuer Organization","Certificate Subject Common Name","Certificate Subject Organization","Certificate Serial Number","SHA-256 Fingerprint","Subject + SPKI SHA256","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Extended Key Usage","CP/CPS Same As Parent","Certificate Policy (CP)","Certification Practice Statement (CPS)","Audits Same As Parent","Standard Audit","BR Audit","Auditor","Standard Audit Statement Dt","Comments","Subordinate CA Owner"
"AC Camerfirma, S.A.","DigitalSign Primary CA","DIGITALSIGN QUALIFIED CA","DigitalSign Primary CA","DigitalSign Certificadora Digital","DIGITALSIGN QUALIFIED CA","DigitalSign Certificadora Digital","01C523869A1EB211","99023C6236DA7B19FFB14833B820D92063938B8FCE13690C63C4C04B657FAB2D","9DD949A41FDB979F6E9D8B488553C08BDB004400AA62A7C9E4DDB5E1822D8D6C","2017 Aug 30","2037 Oct 30","RSA 4096 bits","SHA512WithRSA","ExtKeyUsageEmailProtection,ExtKeyUsageClientAuth","TRUE","","","TRUE","","","CSQA Certificazioni srl","","","DigitalSign"
"AC Camerfirma, S.A.","Global Chambersign Root","AC Camerfirma","Global Chambersign Root","AC Camerfirma SA CIF A82743287","AC Camerfirma","AC Camerfirma SA","02","EF3D7112DD3C3C46A3DC4D2E012921EAD83EFC915CA6DE3ACE72F391375BF06A","6CFA579F81672D2BBC08FCF98D1F07D55F461F8C639CD609FB929E3F57503A61","2003 Nov 14","2033 Nov 14","RSA 2047 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","AC Camerfirma - 2009","Global Chambersign Root - 2008","AC Camerfirma S.A.","AC Camerfirma - 2009","AC Camerfirma S.A.","02","B68D5D9B4EA635957C0C3215C20D35B2217B69E349C7A304C4F97F20C4081F88","2AEAE8A9F553801B1825EE3D1DB7A49DBAE5BF00DDA65980C4BE48FEB57A9C0B","2009 Mar 16","2029 Mar 11","RSA 4096 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","AC Camerfirma Portugal - 2015","Global Chambersign Root - 2008","AC Camerfirma S.A.","AC Camerfirma Portugal - 2015","AC Camerfirma S.A.","04796F61322C16A2","404E643D6EED3BFCFAFC49CC57D6E6BE4B6DE8297176C5190F15E0A5EF11FE97","2F41559DA407FF3AF1A74B0A5BAE31EE2811A83F2ABF2AB6C1840F51F0974CCC","2015 Nov 17","2037 Nov 21","RSA 4096 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","Entitat de Certificació de l'Administració Pública Andorrana-19","Global Chambersign Root - 2008","AC Camerfirma S.A.","Entitat de Certificació de l'Administració Pública Andorrana-19","M.I. Govern d'Andorra","60AE862C57A0454C5E5D62","AD54D8979AA136E9F568E01234ACCA68C81A6F00F9629A7192753F76752BCA69","5B6EDA4673B98D5097E7403DBE305B6C5D0E07BDEA3582AC8AEBD5B464801316","2019 Oct 17","2038 May 30","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageEmailProtection","TRUE","","","","https://bugzilla.mozilla.org/attachment.cgi?id=9229170","","Ernst & Young, LLP","2021.06.21","","Govern d'Andorra"
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","Global Chambersign Root - 2008","Global Chambersign Root - 2008","AC Camerfirma S.A.","Global Chambersign Root - 2008","AC Camerfirma S.A.","00AE8219053F5E8271","F01C1ACA392882AF152E9F01ECCCD0AFDDD8AA35BF895B003198B1E8C752DDB8","7DB0C6863B891672A51E9D28B42610F1DB9F5651C8C87736B937536F8453F947","2011 Dec 07","2038 Jul 31","RSA 4096 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","GLOBAL CORPORATE SERVER","Global Chambersign Root - 2008","AC Camerfirma S.A.","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","44841E74619F52CB","201C0617CC3310C7F29FCBE46B57459BC6786A8BA2753018EB27C1E800168A2E","44C812EB1DF3D29912F78DA9A32A79C46E98D665331A48D9FD593F5BA08F5A41","2017 May 25","2037 May 20","RSA 4096 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","MULTICERT SSL Certification Authority 001","Global Chambersign Root - 2008","AC Camerfirma S.A.","MULTICERT SSL Certification Authority 001","MULTICERT - Serviços de Certificação Electrónica S.A.","01A4B767C5A58D8E","06A57D1CD5879FBA2135610DD8D725CC268D2A6DE8A463D424C4B9DA89848696","081D25907FF3BBD218EBA3DF2FC791615F73BE385C86AB0E19C2E340AF9F132F","2018 Jul 03","2025 May 20","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","","https://pki.multicert.com/docs/EN/MULTICERT_PJ.ECRAIZ_427_en.pdf","","https://apcergroup.com/images/site/downloads/Audit_Attestation_Letters/I1133_AAL_CAB-Forum_MultiCert_NQUAL_Jul_2021_signed.pdf","https://apcergroup.com/images/site/downloads/Audit_Attestation_Letters/I1133_AAL_CAB-Forum_MultiCert_NQUAL_Jul_2021_signed.pdf","Associação Portuguesa de Certificação (APCER)","2021.07.17","","MULTICERT"
"AC Camerfirma, S.A.","GLOBAL CORPORATE SERVER","InfoCert Organization Validation 2019 CA 3","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","InfoCert Organization Validation 2019 CA 3","InfoCert S.p.A.","31B31444FDD6C2A78F0A9C","37122C1A3F3E2D2174740C42C6BC5F585CD38D81B0952DCB457ACC010AC7A4E2","67F4A0C9E4627CFFF5C75EC29FB9531529C60ED5D5133CFD5CE8E986089D5A16","2019 Nov 22","2031 Nov 14","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","","","https://www.firma.infocert.it/pdf/MO_WS_ENG.pdf","","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-2021-11524-rev-2-firmata.pdf.aspx?lang=it-IT","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-2021-11524-rev-2-firmata.pdf.aspx?lang=it-IT","CSQA Certificazioni srl","2021.07.06","","InfoCert SpA"
"AC Camerfirma, S.A.","GLOBAL CORPORATE SERVER","InfoCert Organization Validation CA 3","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","InfoCert Organization Validation CA 3","InfoCert S.p.A.","0249528BFBFF7DDF","247A6D807FF164031E0EB22CA85DE329A3A4E6603DBC6203F0C6E282A9C9EA84","95C9A9E238A3B9D343A519CB72281B875CCC301A9E46DDFB85343FAD2839082D","2017 Jul 06","2035 Jul 02","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","","","https://www.firma.infocert.it/pdf/MO_WS_ENG.pdf","","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-2021-11524-rev-2-firmata.pdf.aspx?lang=it-IT","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-2021-11524-rev-2-firmata.pdf.aspx?lang=it-IT","CSQA Certificazioni srl","2021.07.06","","INFOCERT Spa"
"AC Camerfirma, S.A.","GLOBAL CORPORATE SERVER","Intesa Sanpaolo Organization Validation 2019 CA","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","Intesa Sanpaolo Organization Validation 2019 CA","Intesa Sanpaolo S.p.A.","72F277E7C25BEED9DCC67E","C3E3C2DEE11BF8CFEA56FD5900AFE95CD438D7391DCA55A07BFF44147A35A828","4F50822A258B78285C248A7BBC75331C5EFD41052090E6E7431423FA20A27D34","2019 Nov 22","2031 Nov 14","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","","","http://ca.intesasanpaolo.com/portalCais0/cps/cps2048.htm","","https://www.csqa.it/getattachment/Sicurezza-ICT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-Intesa-San-Paolo-2020_Comments-final-12-01-2021-signed.pdf.aspx","https://www.csqa.it/getattachment/Sicurezza-ICT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-Intesa-San-Paolo-2020_Comments-final-12-01-2021-signed.pdf.aspx","CSQA Certificazioni srl","2020.12.14","","Intesa Sanpaolo S.p.A."
"AC Camerfirma, S.A.","GLOBAL CORPORATE SERVER","Intesa Sanpaolo Organization Validation CA","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","Intesa Sanpaolo Organization Validation CA","Intesa Sanpaolo S.p.A.","07D9B184E4F04310","27CDD699DE15EE88A05BB10ED9DF2FC5E4CA25B5FDD42988963A38EC8940D55A","96AA3DDA47AD4A46577ACACF5B8AA2808253AD9CCF3771317A091DEEB966EFB9","2017 Jul 06","2035 Jul 02","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","","","https://ca.intesasanpaolo.com/portalIden0/identity/doc/ISP-CBCM-2021-1.8%20CPS%20ISP%20Organization%20Validation.pdf","","https://www.csqa.it/getattachment/Sicurezza-ICT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-Intesa-San-Paolo-2020_Comments-final-12-01-2021-signed.pdf.aspx","https://www.csqa.it/getattachment/Sicurezza-ICT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-Intesa-San-Paolo-2020_Comments-final-12-01-2021-signed.pdf.aspx","CSQA Certificazioni srl","2020.12.14","","Intesa Sanpaolo S.p.A."
"Actalis","Actalis Authentication Root CA","Actalis Authentication CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Authentication CA G3","Actalis S.p.A./03358520967","741D584A72FC06BC","A1D25D28941FAFC0C2A6EB9E596A54786E731D0A4A8E321DB9F1CF2C24FDD609","1FD49F7CFF56E9E4548265A6212ED1DD676C0AD4D194630D1254CA4D7D588F1C","2014 Feb 13","2024 Feb 13","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Client Authentication CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Client Authentication CA G1","Actalis S.p.A./03358520967","2CD48AD3B11E0F89","ABDEEC53149098F8A0B07EFD972B345A89BEDE8EDE6975E61BE95EE026DA7EFA","8719C147D8F0C83253766B807D706C5AD2E4C0EDFD336D90E5CE4C12EA5C3411","2015 May 14","2030 May 14","RSA 2048 bits","SHA256WithRSA","(not present)","","https://www.actalis.it/products/certificates-for-secure-electronic-mail.aspx","https://www.actalis.it/documenti-en/cps-for-ssl-server-and-code-signing.pdf","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Client Authentication CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Client Authentication CA G3","Actalis S.p.A.","17103EDE3D8A1CB5CA065193E7CA436B","BB4D3EE661E5029409DB6740B9951494A7F22A7BC0FDC1A1900C07A4781F1419","B39C43CB3CDE0BC969900269E7126B9B7C32996F90F92BF5A1E6B5819F735DF1","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageEmailProtection","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Domain Validation Server CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Domain Validation Server CA G1","Actalis S.p.A./03358520967","5B49DA1E2770E2BA","FD98B40EB94AAC097622179F1E3ACDDACD3F3C9527CD6974DC3614D09AD37AAE","D7062113E6F67D7E175E36D519E89242DDEDDBF240AAF5966071096683072CB0","2016 Oct 06","2030 Sep 22","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Domain Validation Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Domain Validation Server CA G3","Actalis S.p.A.","12737797A315886DFEB76C7E6A5A0354","3450B6D38290C3CA5D7BB38B71495BBF72C6D0C44DBA292245F9BCA9843A9FFF","479C52C9E708E5A6535A42E6B974F362E7366E70536B8EF4AEB177434E12FDF1","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Extended Validation Server CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Extended Validation Server CA G1","Actalis S.p.A./03358520967","32D62BFC67501ACB","4942AD0441218AEC22DAC417AC499D7DE4C54ECBD3D335F34A5F8B068F6E6C96","7FB7856B28A11D893273265E64832D910F35F387A74EF22566C93C0BF7B544AD","2015 May 14","2030 May 14","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","Used for EV-class SSL Server certificates only.",""
"Actalis","Actalis Authentication Root CA","Actalis Extended Validation Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Extended Validation Server CA G3","Actalis S.p.A.","03A8A1C2426A2544B92B0B98A61D7FC5","124EAAF26F570C4FB4D89F5D61078F15B885345FCAF0C57F3477D8C63B5AB26F","43705F984F68777531CF73E86A1A2CE7B62D7E37A9C8A661168E5653FC36BFB8","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Organization Validated Server CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Organization Validated Server CA G1","Actalis S.p.A./03358520967","0B50BBAC02AD30D5","3651F9B36A1DA983200C6EE4EFCECFA4DEFC059466689DAA1A6DB684A54C9E7B","1169EE23508C09BC544BE8466A1037CD2C4A8953AA47125DE2321505A2ED9E33","2018 Jan 17","2030 Sep 22","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Organization Validated Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Organization Validated Server CA G3","Actalis S.p.A.","5C3B3F37ADFC28FE0FCFD3ABF83F8551","931AAA1EC9B2BA0FA59A82302F4F830628C86D9B2D2A50A4D1B2CE895C4CC648","A89CE4285389E3F3ED1CC047EF134C16B14E3DCB33D4CB6C1F11B495BEF8BED5","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Amazon Root CA 1","Amazon","Amazon Root CA 1","Amazon","Amazon","Amazon","067F9457508C648C09CA652E71791830E72592","39C763A9CF19D923F977D23626AB890449A444AB8B795C815EF1EF81FEBC1E38","41CE7DDEA5EE3CBDDC66D0C1EFE1778524B17CD105332ED865EDA32DC7237A92","2015 Oct 22","2025 Oct 19","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Amazon Root CA 1","Amazon","Amazon Root CA 1","Amazon","Amazon","Amazon","067B505C2A6527BC1EBE2DA2D19998EDB89B2C","4A1FF6BBF481170D3B773CEC1F3A84DE3B5096575CDBF8B08432209318CA0FBD","1EDC6349F1F8883E498304F20C820BB2FEDE8B4BB5857292F53CC422F0A8B40E","2015 Oct 21","2040 Oct 21","RSA 2048 bits","SHA256WithRSA","(not present)","","https://content.digicert.com/wp-content/uploads/2020/10/DigiCert-CP-v5.4.1.pdf","https://content.digicert.com/wp-content/uploads/2020/10/DigiCert-CPS-V.5.4.1.pdf","","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=246962","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=246963","BDO International Limited","2020.12.21","","Amazon"
"Amazon Trust Services","Amazon Root CA 1","Amazon","Amazon Root CA 1","Amazon","Amazon","Amazon","067F94578587E8AC77DEB253325BBC998B560D","F55F9FFCB83C73453261601C7E044DB15A0F034B93C05830F28635EF889CF670","1EDC6349F1F8883E498304F20C820BB2FEDE8B4BB5857292F53CC422F0A8B40E","2015 Oct 22","2025 Oct 19","RSA 2048 bits","SHA256WithRSA","(not present)","","https://content.digicert.com/wp-content/uploads/2020/10/DigiCert-CP-v5.4.1.pdf","https://content.digicert.com/wp-content/uploads/2020/10/DigiCert-CPS-V.5.4.1.pdf","","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=246962","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=246963","BDO International Limited","2020.12.21","","Amazon"
"Amazon Trust Services","Amazon Root CA 2","Amazon","Amazon Root CA 2","Amazon","Amazon","Amazon","067F945755F187A91F8163F3E624620177FF38","72130E3B28900349214617F4D6F3FB85D08475EE78BF095C59458A14D1828866","7909476410B7DAEE61D349B81B0509996D5320247ECF1D2795AB4C0915B43408","2015 Oct 22","2025 Oct 19","RSA 4096 bits","SHA384WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Amazon Root CA 3","Amazon","Amazon Root CA 3","Amazon","Amazon","Amazon","06DE6553F4712A18312DFDA2B4846D1B36F76E","ECC295B6DDCD084BA7179FB53BDD1D422CB6C0A8D94F154D4A5B17780B7279ED","375F0EABF83BD0E8959141427CD5FF27ADA41D3767288A3AB4A351E2380C99EB","2018 Jul 16","2028 Jul 16","EC secp256r1","ecdsaWithSHA256","","","https://content.digicert.com/wp-content/uploads/2020/10/DigiCert-CP-v5.4.1.pdf","https://content.digicert.com/wp-content/uploads/2020/10/DigiCert-CPS-V.5.4.1.pdf","","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=246962","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=246963","BDO International Limited","2020.12.21","","Amazon"
"Amazon Trust Services","Amazon Root CA 3","Amazon","Amazon Root CA 3","Amazon","Amazon","Amazon","067F945758FE55B9EE3F75831D47F07D226C8A","205154B777EDC55A5146585A5E54E054A70BE4AAD3B85D02318DA27BF807ADF1","BB77FD28096219ED11CC7E214170ACF35C5F578E51281DF65C60FA4A2A29C0E2","2015 Oct 22","2025 Oct 19","EC secp256r1","ecdsaWithSHA256","(not present)","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Amazon Root CA 4","Amazon","Amazon Root CA 4","Amazon","Amazon","Amazon","067F94575A8862A9072E3239C37CEBA1274E18","7BED29276ACBED9F176F38BBA3A67CE5815B5CBF1522C7BB59ECD86B09E16ED2","73D3D0A11DD58A921EF64C3F22FC6A2B63969289609984A4CBB7F02D14FC92B1","2015 Oct 22","2025 Oct 19","EC secp384r1","ecdsaWithSHA384","(not present)","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Starfield Services Root Certificate Authority - G2","Amazon","Starfield Services Root Certificate Authority - G2","Starfield Technologies, Inc.","Amazon","Amazon","067F94574BB7075D3E48965C783224AA754FED","DFCC775C644DB4A33AD71293433F463C8E31057CE22CB267F9D31A0353F4FC2F","FD7433E41AB2609023E53398BCE154AC56104352A351B2F39498AE906B13B63A","2015 Oct 22","2025 Oct 19","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Starfield Services Root Certificate Authority - G2","Amazon Root CA 1","Starfield Services Root Certificate Authority - G2","Starfield Technologies, Inc.","Amazon Root CA 1","Amazon","067F944A2A27CDF3FAC2AE2B01F908EEB9C4C6","87DCD4DC74640A322CD205552506D1BE64F12596258096544986B4850BC72706","99D5D46631FE07C70451AFF54AD78F56A2FA84FED847B237F8D81F845FA88D20","2015 May 25","2037 Dec 31","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Starfield Services Root Certificate Authority - G2","Amazon Root CA 1","Starfield Services Root Certificate Authority - G2","Starfield Technologies, Inc.","Amazon Root CA 1","Amazon","067B504AEF24EDA49E57F747484563F4E2A158","391220705B75BCF3ED3CD4B3631213F569D2CF8226101E170799A5354AB12861","99D5D46631FE07C70451AFF54AD78F56A2FA84FED847B237F8D81F845FA88D20","2015 Oct 21","2037 Dec 31","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Starfield Services Root Certificate Authority - G2","Amazon Root CA 2","Starfield Services Root Certificate Authority - G2","Starfield Technologies, Inc.","Amazon Root CA 2","Amazon","067F944A2F99539D505AEDF2DE3ED85701E6CA","8B358466D66126312120645A5875A6A57E3C81D98476A967604244254EAC00F0","932910001CD24A7F1F483CEFFF6D268CAAD9D93D7520575EFCE0057E1171505C","2015 May 25","2037 Dec 31","RSA 4096 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
