"CA Owner","Parent Name","Certificate Name","Certificate Issuer Common Name","Certificate Issuer Organization","Certificate Subject Common Name","Certificate Subject Organization","Certificate Serial Number","SHA-256 Fingerprint","Subject + SPKI SHA256","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Extended Key Usage","CP/CPS Same As Parent","Certificate Policy (CP)","Certification Practice Statement (CPS)","Audits Same As Parent","Standard Audit","BR Audit","Auditor","Standard Audit Statement Dt","Comments","Subordinate CA Owner"
"Actalis","Actalis Authentication Root CA","Actalis Authentication CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Authentication CA G3","Actalis S.p.A./03358520967","741D584A72FC06BC","A1D25D28941FAFC0C2A6EB9E596A54786E731D0A4A8E321DB9F1CF2C24FDD609","1FD49F7CFF56E9E4548265A6212ED1DD676C0AD4D194630D1254CA4D7D588F1C","2014 Feb 13","2024 Feb 13","RSA 2048 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Client Authentication CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Client Authentication CA G1","Actalis S.p.A./03358520967","2CD48AD3B11E0F89","ABDEEC53149098F8A0B07EFD972B345A89BEDE8EDE6975E61BE95EE026DA7EFA","8719C147D8F0C83253766B807D706C5AD2E4C0EDFD336D90E5CE4C12EA5C3411","2015 May 14","2030 May 14","RSA 2048 bits","SHA256WithRSA","(not present)","","https://www.actalis.it/products/certificates-for-secure-electronic-mail.aspx","https://www.actalis.it/documenti-en/cps-for-ssl-server-and-code-signing.pdf","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Client Authentication CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Client Authentication CA G3","Actalis S.p.A.","17103EDE3D8A1CB5CA065193E7CA436B","BB4D3EE661E5029409DB6740B9951494A7F22A7BC0FDC1A1900C07A4781F1419","B39C43CB3CDE0BC969900269E7126B9B7C32996F90F92BF5A1E6B5819F735DF1","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageEmailProtection","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Domain Validation Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Domain Validation Server CA G3","Actalis S.p.A.","12737797A315886DFEB76C7E6A5A0354","3450B6D38290C3CA5D7BB38B71495BBF72C6D0C44DBA292245F9BCA9843A9FFF","479C52C9E708E5A6535A42E6B974F362E7366E70536B8EF4AEB177434E12FDF1","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis DV Server ACME CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis DV Server ACME CA G1","Actalis S.p.A.","287BCABA4F75D91BFA05BB1D74F3DD90","C0A9FB425D0EDEBC72BC6C47AD3D3A2B68245ED1D59A5883BF19CE9F8C4DED1F","340CD1C5C8ABDAD318C1055315A42F2C02F950C2690C7AE6F481484869F8B9F0","2023 Jun 26","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Extended Validation Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Extended Validation Server CA G3","Actalis S.p.A.","03A8A1C2426A2544B92B0B98A61D7FC5","124EAAF26F570C4FB4D89F5D61078F15B885345FCAF0C57F3477D8C63B5AB26F","43705F984F68777531CF73E86A1A2CE7B62D7E37A9C8A661168E5653FC36BFB8","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Organization Validated Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Organization Validated Server CA G3","Actalis S.p.A.","5C3B3F37ADFC28FE0FCFD3ABF83F8551","931AAA1EC9B2BA0FA59A82302F4F830628C86D9B2D2A50A4D1B2CE895C4CC648","A89CE4285389E3F3ED1CC047EF134C16B14E3DCB33D4CB6C1F11B495BEF8BED5","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Agence Nationale de Certification Electronique","TunTrust Root CA","TunTrust Qualified CA","TunTrust Root CA","Agence Nationale de Certification Electronique","TunTrust Qualified CA","Agence Nationale de Certification Electronique","640C4827EE903EAFB4D73DB2797A91AFC985727A","21C266BC3D023249F9F73ECFF03BF15234270D425FE36C8180F623C712DFE28E","802A0FCA3C5F47440DCDCBD8AE43916FAE572CB89497EDC8B6E6FF41525A27D9","2019 Apr 26","2039 Apr 26","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageEmailProtection,1.3.6.1.4.1.311.20.2.2","TRUE","","","TRUE","","","","","",""
"Agence Nationale de Certification Electronique","TunTrust Root CA","TunTrust Root CA","TunTrust Root CA","Agence Nationale de Certification Electronique","TunTrust Root CA","Agence Nationale de Certification Electronique","27B4BD1D08289F6D78E2CEDCEEF25DCA3A702990","BABBCA986946352CF9BF382E880652F4E94DBC4FEDD0F1CC21FA9973C96D65AB","E2B4232FD24F4066F48DE6111067236E984B0074806920E16EC10EE8A5761863","2019 Apr 18","2044 Apr 18","RSA 4096 bits","SHA256WithRSA","","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Amazon Root CA 1","Amazon RSA 2048 M01","Amazon Root CA 1","Amazon","Amazon RSA 2048 M01","Amazon","077312380B9D6688A33B1ED9BF9CCDA68E0E0F","5338EBEC8FB2AC60996126D3E76AA34FD0F3318AC78EBB7AC8F6F1361F484B33","05AC71CF2BA7852C9F0C64C1B61CD4423E3C4086263762AA13C2D45657F93F8A","2022 Aug 23","2030 Aug 23","RSA 2048 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 1","Amazon RSA 2048 M02","Amazon Root CA 1","Amazon","Amazon RSA 2048 M02","Amazon","0773124A4BCBD44EC7B53BEAF194842D3A0FA1","B0F330A31A0C50987E1C3A7BB02C2DDA682991D3165B517BD44FBA4A6020BD94","9DC8AE97E76946F1E3CDD3F5C6ACD566C45CCF5331E845C232676A987A34151D","2022 Aug 23","2030 Aug 23","RSA 2048 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 1","Amazon RSA 2048 M03","Amazon Root CA 1","Amazon","Amazon RSA 2048 M03","Amazon","0773124CD406D267C0991CDD299A9F38317985","BF8A69027BCC8D2D42A6E6D25BDD4873F6A34B8F90EDF07E86C5D6916DA0B933","25E0C1360355085CB45CBDE361FDF7E874E3A0D76913C4C61B59F7691D73F2F2","2022 Aug 23","2030 Aug 23","RSA 2048 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 1","Amazon RSA 2048 M04","Amazon Root CA 1","Amazon","Amazon RSA 2048 M04","Amazon","0773124F2A952E3ED18A58BDB85D1BC0CE5F27","138BDF6E23AC971EB4E626B279DD6A26F057510F1DE394293A5EEA2860DE019B","DA36C2419F5746C799952479B7CD4CC935FC16F0DE9E7F9FF76F390899F2E640","2022 Aug 23","2030 Aug 23","RSA 2048 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 2","Amazon RSA 4096 M01","Amazon Root CA 2","Amazon","Amazon RSA 4096 M01","Amazon","07731251E87349337F2E259D8429ED578FD5C5","40FE28DC925D1A8A6B8F861863EB57CD30C6776416AB8A99920BAC7C925A4174","33EC3CAD2965C325C194F6B3D1646C408294A233EE93F4DC1EA716FF546630B5","2022 Aug 23","2030 Aug 23","RSA 4096 bits","SHA384WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 2","Amazon RSA 4096 M02","Amazon Root CA 2","Amazon","Amazon RSA 4096 M02","Amazon","0773125B0C34C3C940299A9F04A39E5A52CCD9","2CC39F6789B967B0282AEACA4548F602A1B274E90D260773E9E7B0F7C0F13432","7A88D91B92B7D948C7053A9B316B57ED45F6A5A97A2DBDC7B5A4F9356858A2D3","2022 Aug 23","2030 Aug 23","RSA 4096 bits","SHA384WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 2","Amazon RSA 4096 M03","Amazon Root CA 2","Amazon","Amazon RSA 4096 M03","Amazon","0773125EAA47CFE4CCFF3C1AA37FBEB02972F7","41BDC074EB9531EC81FEF08D9FFA16536F61FC59789265E95E89A4982AEF3F91","10256EC931A107622872CDA0313ADB483E1BBD6D2CE21C8594B500C52B4FC6A2","2022 Aug 23","2030 Aug 23","RSA 4096 bits","SHA384WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 2","Amazon RSA 4096 M04","Amazon Root CA 2","Amazon","Amazon RSA 4096 M04","Amazon","07731263AF8F9FC16388A2A2E2CFA356730352","3B6FAB0AB11C14EEF9031969E0ADB037C8FCC3366728A6567623D3C26B3632CB","84F40E23B1728FA17F5E1EF7417D2EF758A481287671CFAB1FB5D1EFD91D6A49","2022 Aug 23","2030 Aug 23","RSA 4096 bits","SHA384WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 3","Amazon","Amazon Root CA 3","Amazon","Amazon","Amazon","06DE6553F4712A18312DFDA2B4846D1B36F76E","ECC295B6DDCD084BA7179FB53BDD1D422CB6C0A8D94F154D4A5B17780B7279ED","375F0EABF83BD0E8959141427CD5FF27ADA41D3767288A3AB4A351E2380C99EB","2018 Jul 16","2028 Jul 16","EC secp256r1","ecdsaWithSHA256","","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 3","Amazon ECDSA 256 M01","Amazon Root CA 3","Amazon","Amazon ECDSA 256 M01","Amazon","0773126684D577C0FCF8D3A342BEA86F94FC8F","332B101539FA89CA4E228719FE5287AB6869AF31AB21CBF110F5DD3C5994C1C7","248CE1D2357C80F4579C2C03E2D7849926FC67A73C231C23B805D83C688FE329","2022 Aug 23","2030 Aug 23","EC secp256r1","ecdsaWithSHA256","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 3","Amazon ECDSA 256 M02","Amazon Root CA 3","Amazon","Amazon ECDSA 256 M02","Amazon","0773126DE2C2FAFD2C47AD88B1566E0182046D","F9693255933B68159D168AA9A247DA1DC66E23C0620338EF7149E48F83B1AE79","61B0B9CEFE9AF0C6661AB9E137505E13B75912AAE1CD786D465932DDC300B824","2022 Aug 23","2030 Aug 23","EC secp256r1","ecdsaWithSHA256","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 3","Amazon ECDSA 256 M03","Amazon Root CA 3","Amazon","Amazon ECDSA 256 M03","Amazon","077312703D7951FD4EB2D73CAB826AFBAA080D","493E78EEE8CCA1F26E6494ED924985AF3FA9E6110EAA61C3214E8D73B4047316","73998DB5CBF92D559BB64653E1BD0ABCAD9CEE5D8572C5F7B044B8B38A34ADD3","2022 Aug 23","2030 Aug 23","EC secp256r1","ecdsaWithSHA256","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 3","Amazon ECDSA 256 M04","Amazon Root CA 3","Amazon","Amazon ECDSA 256 M04","Amazon","07731272B752AC8ADCCB0A3027F7DFEC18424A","D241192CCE57D438986723972DD6F18B5A3A3456A708E8F273D147223AB6FA5D","A8B9537EA6905EA4AA3C82D71D273174A17B78053930C198BA6DC1B7566AD49C","2022 Aug 23","2030 Aug 23","EC secp256r1","ecdsaWithSHA256","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 4","Amazon ECDSA 384 M01","Amazon Root CA 4","Amazon","Amazon ECDSA 384 M01","Amazon","077312757EF4C3660F08AF2403D3E55435D40B","DFE35C740CF41C0B053E2202EA5AFC2F021F70BF90B26BC861FE1D9A0BFC4F1E","B5423259BF021E7007286608F7C474ECD7EBA6086E27D9C712C0AD0C3B47FBE0","2022 Aug 23","2030 Aug 23","EC secp384r1","ecdsaWithSHA384","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 4","Amazon ECDSA 384 M02","Amazon Root CA 4","Amazon","Amazon ECDSA 384 M02","Amazon","0773127DFAA6B9E2B95538AA76DDE4307F17C4","A7D15E62C78825919FB59BDE58EFCFB0225B4107DFC60026885420185DC69B63","67E543331012F99498A47C0BB0E47BCC38B9BDAC7C3447C213119E731A46F4EB","2022 Aug 23","2030 Aug 23","EC secp384r1","ecdsaWithSHA384","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 4","Amazon ECDSA 384 M03","Amazon Root CA 4","Amazon","Amazon ECDSA 384 M03","Amazon","0773128034D8CF08CD09FA7AC26FD3DABC9984","F40DA455BE136E0DB31A116FFD3C3002B1EBBC591558493FE630A9C8C9AFAD70","2E2B7DFAB541C33B5B2FE021BA4400742A450A3AF755D31E64E88C32BA61101C","2022 Aug 23","2030 Aug 23","EC secp384r1","ecdsaWithSHA384","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
"Amazon Trust Services","Amazon Root CA 4","Amazon ECDSA 384 M04","Amazon Root CA 4","Amazon","Amazon ECDSA 384 M04","Amazon","07731282B8D0EB83B7B3740058DAB497D0BE74","47FD11AD552AB264D7F272770D3B5590AAE145412F4AD6081BDC485298D8E000","EFCA0C6358191F602857E57A595E368D5D9A7FF25209E7042AED75763C16577D","2022 Aug 23","2030 Aug 23","EC secp384r1","ecdsaWithSHA384","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cp-v5-16.pdf","https://www.digicert.com/content/dam/digicert/pdfs/legal/digicert-cps-v5-16.pdf","","https://bugzilla.mozilla.org/attachment.cgi?id=9309728","https://bugzilla.mozilla.org/attachment.cgi?id=9309729","BDO International Limited","2022.12.22","","DigiCert"
